,date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence,llm_sentiment,Confidence_Sen,llm_risk,Confidence_Risk
0,2023-02-16,AAPL,152.34266662597656,156.3300018310547,153.35000610351562,153.50999450683594,68167900.0,3.0,4.4178111461693845,157.841253105993,135.9434453803351,57.95108645384784,102.10204929810544,55.57455983752464,141.58909861246744,139.69714164733887,20.170000076293945,103.529019718854,4.0,0.7,2.0,0.7
1,2023-02-16,ADBE,365.1600036621094,373.489990234375,363.5499877929688,366.0400085449219,2917000.0,3.0,6.922551814810561,390.7715691818653,353.71143557887694,53.32730307261262,27.40399346106279,13.446125745090836,361.5590026855469,348.29450073242185,20.170000076293945,103.529019718854,4.0,0.75,2.0,0.7
2,2023-02-16,ADI,187.03497314453125,196.3000030517578,192.9600067138672,194.55999755859372,4481700.0,3.0,5.516031456103235,186.08098801220504,155.0390681401387,65.6620061894728,212.79426707575092,66.64086190105924,167.26137135823566,163.91899948120118,20.170000076293945,103.529019718854,3.0,0.5,3.0,0.65
3,2023-02-16,ADP,217.64633178710935,228.82000732421875,225.0200042724609,226.0,1992900.0,3.0,-3.152661546243735,228.0548120388487,207.46175442843645,45.16406602728749,-42.12007850282329,17.922768406472073,221.49383595784505,231.6375473022461,20.170000076293945,103.529019718854,,,,
4,2023-02-16,ADSK,222.1300048828125,225.38999938964844,221.17999267578125,223.75,825400.0,3.0,6.891833992948506,234.6934736017068,201.1085252996604,56.13680414540791,76.82928040210516,31.19670932653822,210.28099975585937,202.50116602579752,20.170000076293945,103.529019718854,,,,
5,2023-02-16,AEP,84.51559448242188,91.1999969482422,89.23999786376953,89.98999786376953,2054600.0,3.0,-0.7390013945803133,87.5818792875355,82.89627775592153,46.92471791287041,-93.11116289743144,35.06944292583185,86.16594034830729,87.23867925008138,20.170000076293945,103.529019718854,3.0,0.6,3.0,0.5
6,2023-02-16,ALGN,326.1700134277344,336.510009765625,323.7300109863281,331.67999267578125,983600.0,3.0,25.91406754489151,380.8610033373368,222.459003986882,64.52897868558082,80.9269173996259,46.51029660727527,279.07833607991535,238.8661682128906,20.170000076293945,103.529019718854,4.0,0.7,2.0,0.65
7,2023-02-16,AMAT,113.44445037841795,118.08000183105467,115.13999938964844,116.87999725341795,9117600.0,3.0,2.581118992907008,121.51260307866022,106.24146491450384,54.58454636386432,54.940465015297946,24.59734545182249,111.0560780843099,106.60056660970052,20.170000076293945,103.529019718854,4.0,0.8,4.0,0.7
8,2023-02-16,AMD,80.08000183105469,83.3499984741211,80.05000305175781,82.9800033569336,57755200.0,3.0,3.4501396434191776,91.29208082557491,69.37991929649537,54.34242554503819,52.15776161191994,16.96806912897832,76.29966659545899,72.84999993642171,20.170000076293945,103.529019718854,4.0,0.7,2.0,0.7
9,2023-02-16,AMGN,221.67225646972656,239.00999450683597,234.0399932861328,238.4600067138672,3291800.0,3.0,-6.17328987984402,247.4806369196981,218.49286924485267,33.741777514909856,-114.75812437656948,57.22476265727606,239.678949991862,248.66759185791017,20.170000076293945,103.529019718854,4.0,0.7,4.0,0.85
10,2023-02-16,AMZN,98.1500015258789,100.62999725341795,98.0999984741211,99.20999908447266,56339200.0,3.0,1.4826922391053614,108.21174788108512,93.14825272926645,50.27631105809182,23.128643824191084,8.305107797183,97.79000040690104,93.45749994913736,20.170000076293945,103.529019718854,,,,
11,2023-02-16,ANSS,273.239990234375,276.1099853515625,269.5899963378906,271.5199890136719,425400.0,3.0,6.119516201126714,283.8056885312362,254.85931391017004,56.82872853422811,72.92451313186038,33.77756694196514,262.1690007527669,253.21733322143555,20.170000076293945,103.529019718854,,,,
12,2023-02-16,ASML,646.0623779296875,668.2000122070312,655.4500122070312,658.7000122070312,946300.0,3.0,12.092179978674269,682.4746312387637,634.7550867788144,55.03486778851129,17.431593044042057,27.85608380175083,645.7975118001302,609.0862050374349,20.170000076293945,103.529019718854,3.0,0.5,1.0,0.9
13,2023-02-16,AVGO,57.9372444152832,60.89400100708008,59.95500183105469,60.07500076293945,17449000.0,3.0,0.9012862883242504,59.51901332309564,55.35472973415534,57.74977018765305,84.01517807396402,36.642654330327936,56.78587265014649,54.551487350463866,20.170000076293945,103.529019718854,,,,
14,2023-02-16,AZN,65.13365173339844,68.66999816894531,67.68000030517578,67.83999633789062,4774400.0,3.0,0.2156556833333951,68.13607185923856,59.22777587330539,52.854478443754005,6.431286264890421,5.161267707543817,65.03939348856608,65.13748601277669,20.170000076293945,103.529019718854,,,,
15,2023-02-16,BIIB,271.5299987792969,277.92999267578125,270.0,277.92999267578125,1511000.0,3.0,-1.0581376155174669,297.83851673891616,277.3634791106932,44.776277999020095,-204.25860973547836,20.760121679428437,285.7793314615885,287.22316589355466,20.170000076293945,103.529019718854,4.0,0.7,3.0,0.7
16,2023-02-16,BKNG,2471.2685546875,2537.0,2469.5,2474.800048828125,341200.0,3.0,66.76350622707605,2502.8311851966946,2327.5156409751808,63.6553593288164,101.81451800044972,29.802352165271063,2352.940706380208,2168.5998331705728,20.170000076293945,103.529019718854,4.0,0.7,3.0,0.5
17,2023-02-16,BKR,30.882997512817383,32.900001525878906,32.18000030517578,32.38999938964844,4898800.0,3.0,0.6330038882580773,31.88421269044618,28.71684512510557,57.30666605378914,109.4254629947858,20.06789573839249,29.93092301686605,28.626130803426108,20.170000076293945,103.529019718854,,,,
18,2023-02-16,CDNS,194.6199951171875,198.44000244140625,193.4499969482422,196.27999877929688,2903100.0,3.0,6.27958990879992,198.57175314492784,175.0432477705995,60.995441096665054,116.31145435505547,39.26047981668532,180.20066731770837,172.21733271280925,20.170000076293945,103.529019718854,,,,
19,2023-02-16,CHTR,400.3699951171875,404.1900024414063,394.4100036621094,395.5400085449219,727900.0,3.0,7.068000695889111,413.0144196974232,386.0495756639049,55.21917653324522,53.35468739854742,24.62214948371304,392.2799987792969,374.8676666259765,20.170000076293945,103.529019718854,,,,
20,2023-02-16,CMCSA,37.437259674072266,39.9900016784668,38.79999923706055,38.84999847412109,23909500.0,3.0,0.414396495483885,38.61380742483503,35.904433313080006,57.87676408954368,48.08441999320746,26.45401216983405,36.81676012674968,34.912171332041424,20.170000076293945,103.529019718854,3.0,0.5,2.0,0.7
21,2023-02-16,COST,487.19329833984375,510.7300109863281,503.6000061035156,503.6099853515625,1456000.0,3.0,5.851519436438707,508.2013516928646,466.15221276026045,53.15148521758799,55.082682188380886,16.267382744057823,478.536382039388,473.3277094523112,20.170000076293945,103.529019718854,4.0,0.7,1.0,0.9
22,2023-02-16,CPRT,34.46500015258789,34.79999923706055,34.11000061035156,34.79999923706055,2527800.0,3.0,0.7779020955491021,35.66075215166239,32.019248344248254,59.59292858356459,78.15860261826404,30.551355787156226,32.92466672261556,32.2089165687561,20.170000076293945,103.529019718854,,,,
23,2023-02-16,CSCO,47.969825744628906,51.7400016784668,49.79999923706055,49.9900016784668,48125300.0,3.0,0.235373852098057,47.05112105604314,43.42172211412287,60.99717313258425,263.8126566149645,33.7005169159678,45.24504521687825,45.16683432261149,20.170000076293945,103.529019718854,,,,
